,17/05/2021,,,,,,,18/05/2021,,,,,,,19/05/2021,,,,,,,20/5/2021,,,,,,,21/5/2021,,,,,,,22/5/2021,,,,,,,23/5/2021,,,,,,
,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,TOTAL
Line 1,0,0,0.52,0,0,2.41,2.93,0.92,2.26,0.49,0,1.46,0,5.13,0.75,0.57,2.61,1.11,2.73,1.97,9.74,0.41,0,0.24,0.28,0.24,0.78,1.95,0.57,0.45,0.6,0.17,0.28,0.18,2.25,0.46,0.38,0.29,0.14,0.1,0.29,1.66,0.24,0.09,0.49,0,0.15,0.48,1.45
Line 2,0.49,0.42,0.85,0.18,0.42,0.82,3.18,0,0.98,0.78,0.69,1.28,1.7,5.43,0.56,0.41,0.9,0,0.34,0.38,2.59,0.32,0.35,0.15,0.57,0.22,0.49,2.1,2.81,6.2,1.61,0.6,0.36,0.12,11.7,0.66,0,0.21,0,0,0.21,1.08,0.07,0.2,0.36,0.34,0.22,0.39,1.58
Line 3,0.39,0.33,1.21,0.64,0.67,1.44,4.68,0.39,0.92,1.13,0.63,0.34,1.27,4.68,0,1.15,0.91,0.76,1.86,1.15,5.83,0.15,0.45,0.11,0.58,0.25,1.32,2.86,3.34,4.39,2.18,0.29,0.26,0.4,10.86,0.67,0.18,0.37,0.05,0.26,0.37,1.9,0,0.24,0.23,0.12,0.31,0,0.9
Line 4,0,0.36,0.4,0.16,0.13,0,1.05,0,0,0.68,0.34,0,0,1.02,0,0,0.57,1.23,1.83,1.47,5.1,0.5,0,0.34,0.12,0.16,0.9,2.02,0.53,0.64,0.27,0.31,0.42,0.19,2.36,0,0.06,0.1,0.01,0.07,0.1,0.34,0,0,0.42,0.09,0,0,0.51
Line 5,0.83,0.38,1.09,0.89,1.04,1.62,5.85,0.44,0.47,0.65,0.53,0.87,0.54,3.5,0,0.41,0.89,0.77,0.8,0.46,3.33,0.51,0.59,0.29,0.25,0.19,1.12,2.95,1.06,1.13,0,0.15,0,0.27,2.61,0.19,0.15,0.82,0.46,0.12,0.82,2.56,0,0.16,0.56,0.18,0.44,0.14,1.48
Line 6,0,0,0,3.58,0.68,0,4.26,0,0,0.55,0.19,0.39,0,1.13,0,0,0.81,0.21,0,0,1.02,0,0,0.24,0,0.27,1.54,2.05,0.57,0.56,0.47,0.16,0.07,0,1.83,0,0,0.28,0.15,0.02,0.28,0.73,0,0.14,0,0.37,0,0,0.51
TOTAL,1.71,1.49,4.07,5.45,2.94,6.29,21.95,1.75,4.63,4.28,2.38,4.34,3.51,20.89,1.31,2.54,6.69,4.08,7.56,5.43,27.61,1.89,1.39,1.37,1.8,1.33,6.15,13.93,8.88,13.37,5.13,1.68,1.39,1.16,31.61,1.98,0.77,2.07,0.81,0.57,2.07,8.27,0.31,0.83,2.06,1.1,1.12,1.01,6.43
Line 7,4.4,2.73,0,0,0,2.61,9.74,0,4,0,1.45,1.15,4.05,10.65,4.07,1.4,1.18,0,0.66,0.89,8.2,2.08,1.01,1.15,0.29,0.31,1.86,6.7,1.32,3.4,0.8,1.14,0,1.81,8.47,0.9,0.9,0.07,0,0.17,0.1,2.14,0.24,0.12,0.28,0.22,0.3,0,1.16
Line 8,1.22,2.77,2.83,1.99,2.84,4.11,15.76,0,6.3,1.58,3.56,3.22,3.45,18.11,3.5,1.52,1.47,1.14,0.94,0.98,9.55,1.7,0.8,0.37,0,0,2.96,5.83,0,2.45,10.4,3.18,2.3,2.41,20.74,1.57,3.2,0.38,0.12,0,0.91,6.18,0.6,0,0.63,0.22,0.28,0,1.73
Line 9,2.43,3.23,3.2,0,2.35,3.62,14.83,0,8.21,2.43,2.31,2.3,4.04,19.29,3.12,3.03,1.49,0.85,2.75,1.1,12.34,1.21,1.23,0.8,1.02,1.73,1.99,7.98,1.19,1.93,1.2,1.35,1.24,2.99,9.9,2.98,2.98,0.17,0.23,0.1,0.21,6.67,0.2,0.18,0.28,0.15,0.19,0,1
Line 10,4.3,5.1,3.28,2.14,3.26,4.51,22.59,0,5.31,2.89,3.55,0,3.87,15.62,6.87,2.71,1.9,3.68,3.09,4.23,22.48,4.12,3.63,0,0,0,0.99,8.74,0.99,4.82,2.23,0,2.33,3.71,14.08,1.94,0.94,0.19,0.28,0,1.2,4.55,0.98,0.27,0.71,0.15,0.38,0,2.49
Line 11,3.86,3.1,2.28,1.96,0,2.89,14.09,0,4.11,2.83,2.84,1.98,2.61,14.37,2.5,0.87,1.1,0,1.31,1,6.78,0,1.45,0,0,1.04,2.97,5.46,2.32,3.6,1.76,2.58,2.44,2.11,14.81,2.39,1.95,0.98,0.4,0.73,0.75,7.2,0.61,0,0.13,0.36,0.32,0,1.42
Line 12,1.33,1.32,1.46,0,0,0,4.11,0,3.31,3.35,0,0,2.18,8.84,2.07,0.75,1.26,0,0,1.01,5.09,1.88,0.88,0,0.83,0.78,1.4,5.77,2.08,1.05,1.46,0.94,0.58,2.03,8.14,0.77,0.56,0.28,0.24,0.22,0.27,2.34,0.1,0.27,0.3,0.2,0.18,0,1.05
TOTAL,17.54,18.25,13.05,6.09,8.45,17.74,81.12,0,31.24,13.08,13.71,8.65,20.2,86.88,22.13,10.28,8.4,5.67,8.75,9.21,64.44,10.99,9,2.32,2.14,3.86,12.17,40.48,7.9,17.25,17.85,9.19,8.89,15.06,76.14,10.55,10.53,2.07,1.27,1.22,3.44,29.08,2.73,0.84,2.33,1.3,1.65,0,8.85
Line 13,2.56,2.45,3.39,1.86,0.5,1.31,12.07,0,4.1,1.45,0,1.57,1.45,8.57,0,1.57,2.75,1.47,2.14,1.43,9.36,1.54,2.46,4.93,1.61,1.05,1.57,13.16,1.54,1.65,0.33,2.53,1.18,1.43,8.66,1.32,1.21,0.38,0.8,0.79,2.43,6.93,1.56,1.23,0.53,0.8,1.21,3.43,8.76
Line 14,0,0,0,1.37,1.4,2.15,4.92,0,3.1,1.32,1.24,2.54,1.32,9.52,1.24,2.54,2.62,1.77,1.35,2.32,11.84,1.62,2.52,0.77,1.47,2.49,1.52,10.39,2.42,2.54,0.99,2.02,0.65,1.32,9.94,0.46,0.67,0,0,0,2.64,3.77,3.43,4.56,0,0,,22.64,30.63
Line 15,2.43,2.76,4.2,0,0,2.31,11.7,0,5.8,1.46,2.34,1.64,1.46,12.7,2.34,1.64,3.95,3.11,1.99,2.45,15.48,1.75,2.55,2.67,1.27,1.29,1.45,10.98,2.65,1.75,0.69,3.11,2.24,2.45,12.89,2.67,2.76,1.23,1.1,1.72,2.65,12.13,1.75,1.76,0.7,0.2,2,2.8,9.21
Line 16,1.32,1.43,2.98,1.07,0.4,2.45,9.65,0,1.55,1.53,2.23,2.46,1.53,9.3,2.23,2.46,2.25,0.53,1.01,2.56,11.04,1.45,1.35,0.68,0.94,0.93,2.35,7.7,1.56,1.86,0.3,1.06,0.33,1.42,6.53,1.32,0.54,0.28,0.3,0,1.43,3.87,1.42,1.21,0.31,0.2,0.15,1.5,4.79
Line 17,2.43,2.67,1.22,2.03,1.8,4.67,14.82,0,10.33,2.34,1.87,2.57,2.34,19.45,1.87,2.57,2.64,2.17,0,0,9.25,0,5.92,2.16,1.28,2.58,2.7,14.64,2.86,3.06,2.06,0.56,1.39,2.19,12.12,2.07,1.97,2.4,0.34,1.61,2.75,11.14,1.63,1.86,1.1,1.1,0,2.12,7.81
Line 18,1.65,1.87,0.92,1.83,1,1.84,9.11,0,2.9,1.64,1.45,1.65,1.64,9.28,1.45,1.65,2.99,2.38,3.31,2.65,14.43,1.75,2.34,1.63,1.27,0.26,1.54,8.79,0.54,1.34,1.5,0,0.65,1.43,5.46,0.45,0.65,0.8,0.41,0.14,1.42,3.87,1.32,1.56,1,0.6,0.3,2.12,6.9
Line 19,1.64,3.31,0,0,5.7,3.1,13.75,0,2.9,0,5.1,5.03,0,13.03,5.1,5.03,0.8,1.52,6.03,3.44,21.92,2.32,3.9,5.53,2.18,1.31,1.17,16.41,1.4,2.99,0.4,2.13,2.65,4.09,13.66,4.19,4.08,1.2,0.2,1.27,1.5,12.44,2.06,2.17,0.3,0.2,0.13,2.53,7.39
Line 20,2.29,3.02,0,0,3,3.64,11.95,0,2.9,1.91,1.41,2.28,1.91,10.41,1.41,2.28,0.6,2.26,2,2.99,11.54,3.42,2.81,2.47,1.56,1.11,1.78,13.15,1.9,2.75,1.04,0,0,0.86,6.55,1.66,1.74,0.9,0,0.53,0.98,5.81,2.75,2.07,0.3,0.6,0.6,2.66,8.98
TOTAL,14.32,17.51,12.71,8.16,13.8,21.47,87.97,0,33.58,11.65,15.64,19.74,11.65,92.26,15.64,19.74,18.6,15.21,17.83,17.84,104.86,13.85,23.85,20.84,11.58,11.02,14.08,95.22,14.87,17.94,7.31,11.41,9.09,15.19,75.81,14.14,13.62,7.19,3.15,6.06,15.8,59.96,15.92,16.42,4.24,3.7,4.39,39.8,84.47
